Company,Job Detail,Required Skills,City,HR Email
Newrocket,"['Role: Software Development - Other', 'Industry Type: IT Services & Consulting', 'Department: Engineering - Software & QA', 'Employment Type: Full Time, Permanent', 'Role Category: Software Development', 'UG: Any Graduate', 'PG: Any Postgraduate']","['Unix', 'System testing', 'Automation', 'Functional testing', 'Black Box Testing', 'Workflow', 'System administration', 'Remedy']",Remote,careers@newrocket.com
Remotestar,"['Role: Search Engineer', 'Industry Type: Software Product', 'Department: Engineering - Software & QA', 'Employment Type: Full Time, Permanent', 'Role Category: Software Development', 'UG: Any Graduate', 'PG: Any Postgraduate']","['Computer science', 'Automation', 'Networking', 'Configuration management', 'Postgresql', 'Machine learning', 'SSH', 'CCNA', 'Release management', 'Python']",Remote,careers@remotestar.com
Aerosea Transworld Pvt. Ltd.,"['Role: Software Developer in Test (SDET)', 'Industry Type: IT Services & Consulting', 'Department: Engineering - Software & QA', 'Employment Type: Full Time, Permanent', 'Role Category: Quality Assurance and Testing', 'UG: Any Graduate']","['.Net', 'C#', 'Msql', 'ASP.Net', 'Entity Framework', 'JQuery', 'SQL']",Indore,careers@aeroseatransworldpvt.ltd..com
Advantal Technologies,"['Role: Solution Architect', 'Industry Type: Software Product', 'Department: Engineering - Software & QA', 'Employment Type: Full Time, Permanent', 'Role Category: Software Development', 'UG: Any Graduate', 'PG: Any Postgraduate']","['architectural design', 'interior designing', 'project management', 'software development', 'enterprise architecture', 'microsoft azure', 'sketchup', 'presales', 'autocad', 'microservices', 'docker', 'working drawings', 'java', 'solution design', 'aws', 'cloud computing', 'architecture']",Indore,careers@advantaltechnologies.com
iOPEX,"['Role: Software Development - Other', 'Industry Type: Software Product', 'Department: Engineering - Software & QA', 'Employment Type: Full Time, Permanent', 'Role Category: Software Development', 'UG: Any Graduate']","['Servicenow', 'Javascript', 'Scripting']","Indore, Chennai, Bengaluru",careers@iopex.com
Nrp Consultants,"['Role: IT & Information Security - Other', 'Industry Type: IT Services & Consulting', 'Department: IT & Information Security', 'Employment Type: Full Time, Permanent', 'Role Category: IT & Information Security - Other', 'UG: Any Graduate']","['Strong Communication Skills', 'client communication', 'CSS', 'consulting', 'HTML']","Indore, Pune, Bengaluru",careers@nrpconsultants.com
syniti,"['Role: Search Engineer', 'Industry Type: BPM / BPO', 'Department: Engineering - Software & QA', 'Employment Type: Full Time, Permanent', 'Role Category: Software Development', 'UG: Any Graduate', 'PG: Any Postgraduate']","['Product quality', 'Data management', 'Master data management', 'Architectural design', 'Mentor', 'Technical Lead', 'digital transformation', 'Analytics', 'System implementation', 'SQL']",Remote,careers@syniti.com
Precision For Medicine,"['Role: Engineering Manager', 'Industry Type: Clinical Research / Contract Research', 'Department: Engineering - Software & QA', 'Employment Type: Full Time, Permanent', 'Role Category: Software Development', 'UG: Any Graduate', 'PG: CA in CA']","['Linux', 'Coding', 'Shell scripting', 'Javascript', 'Application development', 'Information technology', 'Analytics', 'Monitoring', 'Python']",Remote,careers@precisionformedicine.com
Cointracker,"['Role: Engineering Manager', 'Industry Type: Software Product', 'Department: Engineering - Software & QA', 'Employment Type: Full Time, Permanent', 'Role Category: Software Development', 'UG: Any Graduate', 'PG: Any Postgraduate']","['Usage', 'Software development', 'Compliance', 'Engineering management', 'GCP', 'Venture capital', 'HR', 'Taxation', 'tax compliance', 'Auditing']",Remote,careers@cointracker.com
Inmar Technologies,"['Role: Blockchain Quality Assurance Engineer', 'Industry Type: Software Product', 'Department: Engineering - Software & QA', 'Employment Type: Full Time, Permanent', 'Role Category: Quality Assurance and Testing', 'UG: Any Graduate', 'PG: Any Postgraduate']","['System architecture', 'Backend', 'Front end', 'Data modeling', 'Technical leadership', 'Healthcare', 'Application development', 'Continuous improvement', 'Recruitment', 'SQL']",Remote,careers@inmartechnologies.com
S P Infotech Indore,"['Role: UI / UX - Other', 'Industry Type: IT Services & Consulting', 'Department: UX, Design & Architecture', 'Employment Type: Full Time, Permanent', 'Role Category: UI / UX', 'UG: Any Graduate']","['Canva', 'User Experience Design', 'Wireframing', 'Illustrator', 'Prototyping', 'Typography']",Indore,careers@spinfotechindore.com
Markonic Solutions,"['Role: Graphic Designer', 'Industry Type: Advertising & Marketing (Digital Marketing)', 'Department: UX, Design & Architecture', 'Employment Type: Full Time, Permanent', 'Role Category: Other Design', 'UG: Any Graduate']","['Graphic Designing', 'Motion Graphics', 'Illustrator', 'Corel Draw', 'Adobe', 'Photoshop', 'Composing', 'Typography']",Indore,careers@markonicsolutions.com
Techture,"['Role: Design Manager', 'Industry Type: Architecture / Interior Design', 'Department: UX, Design & Architecture', 'Employment Type: Full Time, Permanent', 'Role Category: Architecture & Interior Design', 'UG: Any Graduate', 'PG: Any Postgraduate']","['Fabrication', 'Client handling', 'Architecture', 'AutoCAD', 'Mentor', 'REVIT', 'Interior designing', 'Site coordination']",Indore,careers@techture.com
True Choice,"['Role: Web Designer', 'Industry Type: IT Services & Consulting', 'Department: UX, Design & Architecture', 'Employment Type: Full Time, Permanent', 'Role Category: Other Design', 'UG: Any Graduate', 'PG: Any Postgraduate']","['Graphics', 'Illustrator', 'Project management', 'Javascript', 'Production Manager', 'HTML', 'Web designing', 'Photoshop', 'Analytics', 'Automotive']",remote,careers@truechoice.com
Talentxplore,"['Role: Product Designer', 'Industry Type: Beauty & Personal Care', 'Department: UX, Design & Architecture', 'Employment Type: Full Time, Permanent', 'Role Category: Other Design', 'UG: Any Graduate']","['Packaging Design', 'Time Management', 'Illustrator', 'Corel Draw', 'Adobe Creative Suite']",Indore,careers@talentxplore.com
Lottiefiles,"['Role: Back End Developer', 'Industry Type: Design', 'Department: Engineering - Software & QA', 'Employment Type: Full Time, Permanent', 'Role Category: Software Development', 'UG: Any Graduate', 'PG: Any Postgraduate']","['Graphics', 'Backend', 'Front end', 'Web development', 'Medical insurance', 'Management', 'Budgeting']",Remote,careers@lottiefiles.com
Zennial Pro,"['Role: Interaction Designer', 'Industry Type: IT Services & Consulting', 'Department: UX, Design & Architecture', 'Employment Type: Full Time, Permanent', 'Role Category: UI / UX', 'UG: Any Graduate', 'PG: Any Postgraduate']","['interfaces', 'ux', 'adobe creative suite', 'adobe', 'prototype', 'research', 'sketching', 'user research', 'visual design', 'tool design', 'user experience design', 'portfolio', 'design', 'visual', 'interaction design', 'communication skills']",Remote,careers@zennialpro.com
Millipixels Interactive Llp,"['Role: Interaction Designer', 'Industry Type: IT Services & Consulting', 'Department: UX, Design & Architecture', 'Employment Type: Full Time, Permanent', 'Role Category: UI / UX', 'UG: Any Graduate', 'PG: Any Postgraduate']","['interfaces', 'ux', 'adobe creative suite', 'adobe', 'prototype', 'research', 'sketching', 'user research', 'visual design', 'tool design', 'user experience design', 'portfolio', 'design', 'visual', 'interaction design', 'communication skills']",Remote,careers@millipixelsinteractivellp.com
Swatsan Tech,"['Role: UI / UX Designer', 'Industry Type: Water Treatment / Waste Management', 'Department: UX, Design & Architecture', 'Employment Type: Full Time, Permanent', 'Role Category: UI / UX', 'UG: Any Graduate', 'PG: Any Postgraduate']","['ux', 'software testing', 'user interface designing', 'photoshop', 'prototype', 'research', 'user research', 'visual design', 'ui', 'user experience design', 'visual', 'html', 'interaction design', 'information architecture', 'usability analysis', 'illustrator']",Remote,careers@swatsantech.com
Select Source Int,"['Role: UI / UX Designer', 'Industry Type: Software Product', 'Department: UX, Design & Architecture', 'Employment Type: Full Time, Permanent', 'Role Category: UI / UX', 'UG: Any Graduate']","['Illustrator', 'Photoshop']","Indore, Gurugram",careers@selectsourceint.com
Measured Inc,"['Role: Product Designer', 'Industry Type: Advertising & Marketing', 'Department: UX, Design & Architecture', 'Employment Type: Full Time, Permanent', 'Role Category: Other Design', 'UG: Any Graduate', 'PG: Any Postgraduate']","['User research', 'Product engineering', 'data science', 'Agile', 'Tool design', 'Genetics', 'Test planning', 'Medical insurance', 'Visual Design']",Remote,careers@measuredinc.com
Changeleaders Consulting,"['Role: Research & Development - Other', 'Industry Type: Printing & Publishing', 'Department: Research & Development', 'Employment Type: Full Time, Permanent', 'Role Category: Research & Development - Other', 'UG: Any Graduate']","['User Research', 'Product Research', 'Qualitative Research', 'Visual Design']",Bhopal,careers@changeleadersconsulting.com
Benovymed Healthcare,"['Role: Program Manager - Technology / IT', 'Industry Type: IT Services & Consulting', 'Department: Project & Program Management', 'Employment Type: Full Time, Permanent', 'Role Category: Technology / IT', 'UG: Any Graduate', 'PG: Any Postgraduate', 'Doctorate: Doctorate Not Required']","['Product Development', 'telemedicine', 'project management', 'FDA', 'training and development', 'hipaa', 'teaching', 'Artificial intelligence']",Indore,careers@benovymedhealthcare.com
Buyframe & Co,"['Role: Full Stack Developer', 'Industry Type: IT Services & Consulting', 'Department: Engineering - Software & QA', 'Employment Type: Full Time, Permanent', 'Role Category: Software Development', 'UG: Any Graduate, B.Tech/B.E. in Any Specialization']","['MySQL', 'Node.Js', 'React.Js', 'AWS', 'CSS', 'Express', 'Javascript', 'HTML']",Remote,careers@buyframe&co.com
Vichara Technologies,"['Role: Full Stack Developer', 'Industry Type: IT Services & Consulting', 'Department: Engineering - Software & QA', 'Employment Type: Full Time, Permanent', 'Role Category: Software Development', 'UG: B.Tech/B.E. in Any Specialization, B.Sc in Any Specialization, BCA in Any Specialization']","['Node.Js', 'Microservices', 'SQL', 'React.Js', 'Azure', 'LLM', 'Javascript', 'API']","Indore, Jaipur, Delhi / NCR",careers@vicharatechnologies.com
